time,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),action
9.0,22.775608594382977,69.37979482494237,5.672206727341209,323.8450139679524,11.0,23.823353507047088,22.0
11.75,0.4440198898128218,98.6538160142384,3.0498562011122914,0.0668603567707202,0.0,21.707329886288107,15.0
9.75,19.949889323974453,74.54738029674103,3.8285542581171854,4.036493618059263,11.0,22.53428876892754,22.0
10.25,17.58091607525878,57.96646338347085,9.344216245811657,598.4347578004918,0.0,23.328026281391743,15.0
8.75,16.210368810631646,74.93867229217163,4.702657291634613,0.0,11.0,22.443361599344044,22.0
9.25,22.068775022932723,92.82130515290756,3.8748006804629114,27.049804044985525,11.0,22.393937642404364,22.0
18.0,-0.6477382165938529,54.02131780588012,5.056674673026075,0.0,11.0,21.515070039108878,19.0
19.5,3.2227174778515013,72.65866119916687,5.0725060867941485,0.3970660728786043,1.1,22.875101744757,18.0
17.25,14.241457927058192,82.4867169113944,2.643389521582121,0.536187782774092,0.0,23.134823621426648,16.0
14.0,0.9357703778710136,92.29757793586208,4.6695770763676,0.1355553063981951,8.8,21.32497079434644,22.0
9.25,6.698953830590224,74.15042542214861,4.901395803912201,110.54216746869808,0.0,21.400714925908694,15.0
9.25,11.333494671200572,88.22092061997085,5.378750075551617,82.43406119120309,11.0,21.958310617644635,22.0
12.25,20.18158436620538,60.27720001576161,3.7900819481116903,0.0211468237607656,4.4,23.37133333772013,22.0
9.75,10.29243051436263,49.39425522542396,8.203977696994038,785.6876422402457,11.0,22.22646381150495,22.0
14.0,14.909767708022128,69.20066106389726,5.098360174556568,0.0675504001909965,0.0,23.18829481149973,15.0
21.0,-0.2096584490191834,51.16752748588302,3.013253509916724,0.0952280278029705,1.1,21.269010058264048,19.0
19.0,-5.643155353637053,58.79417113899228,1.5362414205702304,0.0,5.5,21.396957906128065,22.0
9.5,23.133966326350883,75.72849165452918,3.9472925593509047,0.0,11.0,22.95369766658303,22.0
9.25,16.726771083501724,74.61238821578146,4.658370145057333,0.0,11.0,23.453025528405533,22.0
8.0,14.632857135200934,95.73886931772068,4.865692774416456,0.0,0.0,21.347451308983796,22.0
18.0,16.21597430639739,52.95552949086282,2.6043838671330723,0.1847302542992498,0.0,21.726662220820334,15.0
11.0,5.725752301404246,27.645046704210515,3.8327156805171994,907.8259690045036,11.0,26.901205119827704,22.0
14.75,-2.7594498133792795,61.89699017836954,5.72337980237443,0.0555610899172427,11.0,20.701302177988207,22.0
12.75,0.0510485995612871,92.39337107305268,2.4466803749106187,0.3906915869368081,4.4,20.375502270465464,22.0
7.75,12.362489830794962,82.22039002440376,3.8240987698572906,0.2431462302229591,0.0,20.742323856157046,22.0
12.5,4.160558999170609,83.66867848671986,4.213530282547681,0.5143731779830043,4.4,21.752834404312647,22.0
16.25,-3.218136897632057,62.88327346555767,6.508797851889423,0.0,11.0,21.305988753720023,22.0
17.75,4.8940343481008615,92.81111022889976,2.232190690676776,0.0,11.0,20.961710183274537,22.0
10.25,-7.275150071162793,74.4190245781396,5.1383762343079855,0.0,11.0,20.962555158829016,21.0
18.0,0.6509890570591106,34.97712492404002,4.681486311695171,0.1024821402502101,11.0,22.111465363333835,21.0
11.25,6.008971611720397,47.76680594519069,3.7543783632692938,863.727924401852,0.0,22.48996012613801,17.0
14.75,10.31118259754297,75.83005287965632,5.646454693901179,0.0,0.0,21.157984117699883,15.0
18.25,4.082959453930666,67.7150196359098,4.712049076984867,86.6354876412231,0.0,22.9644631298492,15.0
20.5,9.595163094658432,18.722672521736428,2.919155314646975,0.1378229365728716,1.1,21.433728748956156,22.0
16.5,-3.2511928438245064,63.77595320108978,6.860621993379471,0.0936837349794423,11.0,20.91974724298905,22.0
9.75,11.428679180061328,59.61440555995606,6.482858786172135,0.0,11.0,22.083356981069425,22.0
10.5,12.925299873624224,93.16350475917724,2.1282334452766363,0.0160511877782253,11.0,23.473245576690942,22.0
10.25,5.575618223761077,74.18402399092618,9.285005215219668,99.88066779993096,11.0,21.354551332270475,22.0
