time,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),action
12.0,0.8332058032721945,92.28263594860177,6.973743979063968,0.1393302323704227,8.8,21.26618159689263,16.0
8.5,5.775365263979055,63.00192333408293,5.759034908726767,0.0,11.0,20.92847406966255,15.0
9.5,5.937836356583372,48.128008484814,3.101315033833905,676.0311612887249,11.0,23.18037848967781,15.0
8.75,19.795619663106105,72.09994795403146,6.084923011654771,596.9974773478949,11.0,20.625011955459023,17.0
10.75,5.961475687036939,31.9211746438705,4.764398936772673,791.8766357562492,11.0,21.489485073774823,15.0
9.75,12.63882138956744,93.75766958536306,1.9982036801015768,0.0,11.0,22.74863007088066,15.0
9.5,13.568466717497955,69.11384922112535,4.219885935233445,0.0,11.0,22.880519808084973,15.0
7.75,15.575299590647584,89.14184106364716,0.0741682867251238,0.2733749926934621,0.0,21.168728806190632,22.0
11.5,5.096991434589743,46.88548582919688,7.525450401188808,810.4540473459407,8.8,22.758331315437072,15.0
16.75,8.902037114989582,44.99991149103508,3.303164796328496,63.19863812906635,11.0,23.59967636889937,22.0
16.5,22.06912505830591,42.06528710784322,2.517077412266132,0.0,11.0,23.41940578482152,15.0
8.75,19.977872516541947,64.54860928881794,8.170138136422132,292.3576338835492,11.0,20.5919817609326,16.0
8.0,-2.322202335512202,54.0618917618492,2.0630728090573798,8.963488022874257,0.0,20.27992977285574,22.0
9.5,6.419345799952641,78.9915318624893,0.0,708.3869660889063,11.0,24.47209640881619,22.0
17.25,12.753731861950396,74.0624405892305,4.932130444654587,0.0,0.0,22.920927328999685,15.0
7.75,16.910601885530625,96.95193748182562,2.585615751968927,0.0,0.0,20.61535794351259,22.0
10.0,-1.41112796343884,84.94331637756694,5.243356461007194,0.3012160418366876,11.0,21.427658652908523,16.0
11.75,1.831925737779528,55.29921109190497,2.37471141251378,825.0021051481593,8.8,20.75804439770289,16.0
9.25,4.4754608952677,72.65815477104016,1.4653284884972435,558.3796932709697,0.0,21.20856696005133,16.0
8.5,4.495057878913888,75.15651640269455,2.7839381952442293,0.0,11.0,21.21768416846964,17.0
12.75,7.282253406273262,55.13437744589398,7.315989155773678,40.72061390128192,4.4,22.79801986226098,15.0
11.25,21.017202047420817,98.5090277849874,4.36090528911893,0.0,8.8,23.41240402002209,15.0
8.5,5.11903770746605,74.87428165949886,3.1172029850493908,56.16105646228299,11.0,20.714480239108056,16.0
20.0,5.748534102780207,55.84357278173084,6.252532708551305,0.0,0.0,20.646244378544218,15.0
10.0,11.726351281099252,86.0803946312978,2.0630903444898734,0.1548014372970444,11.0,23.1914145715066,16.0
