,obs,action,step
1190,17,21.0,40
1191,17,22.0,40
1192,17,20.0,40
1193,17,21.0,40
1194,17,22.0,40
1195,17,22.0,40
1196,17,21.0,40
1197,17,22.0,40
1198,17,22.0,40
1199,17,19.0,40
1200,17,22.0,41
1201,17,22.0,41
1202,17,20.0,41
1203,17,21.0,41
1204,17,21.0,41
1205,17,19.0,41
1206,17,19.0,41
1207,17,20.0,41
1208,17,21.0,41
1209,17,21.0,41
1210,17,22.0,41
1211,17,22.0,41
1212,17,22.0,41
1213,17,22.0,41
1214,17,20.0,41
1215,17,22.0,41
1216,17,22.0,41
1217,17,19.0,41
1218,17,17.0,41
1219,17,21.0,41
1220,17,20.0,41
1221,17,21.0,41
1222,17,22.0,41
1223,17,18.0,41
1224,17,21.0,41
1225,17,22.0,41
1226,17,22.0,41
1227,17,20.0,41
1228,17,22.0,41
1229,17,21.0,41
1230,17,20.0,42
1231,17,22.0,42
1232,17,21.0,42
1233,17,22.0,42
1234,17,20.0,42
1235,17,21.0,42
1236,17,21.0,42
1237,17,18.0,42
1238,17,19.0,42
1239,17,21.0,42
1240,17,22.0,42
1241,17,21.0,42
1242,17,22.0,42
1243,17,20.0,42
1244,17,16.0,42
1245,17,20.0,42
1246,17,21.0,42
1247,17,22.0,42
1248,17,21.0,42
1249,17,20.0,42
1250,17,20.0,42
1251,17,22.0,42
1252,17,21.0,42
1253,17,20.0,42
1254,17,20.0,42
1255,17,22.0,42
1256,17,21.0,42
1257,17,17.0,42
1258,17,20.0,42
1259,17,21.0,42
1260,17,22.0,43
1261,17,18.0,43
1262,17,22.0,43
1263,17,21.0,43
1264,17,21.0,43
1265,17,21.0,43
1266,17,20.0,43
1267,17,16.0,43
1268,17,21.0,43
1269,17,22.0,43
1270,17,19.0,43
1271,17,21.0,43
1272,17,20.0,43
1273,17,22.0,43
1274,17,21.0,43
1275,17,22.0,43
1276,17,22.0,43
1277,17,20.0,43
1278,17,21.0,43
1279,17,22.0,43
1280,17,19.0,43
1281,17,18.0,43
1282,17,20.0,43
1283,17,19.0,43
1284,17,21.0,43
1285,17,19.0,43
1286,17,20.0,43
1287,17,22.0,43
1288,17,22.0,43
1289,17,21.0,43
1290,17,18.0,44
1291,17,22.0,44
1292,17,22.0,44
1293,17,22.0,44
1294,17,21.0,44
1295,17,22.0,44
1296,17,21.0,44
1297,17,22.0,44
1298,17,21.0,44
1299,17,21.0,44
1300,17,20.0,44
1301,17,18.0,44
1302,17,21.0,44
1303,17,22.0,44
1304,17,22.0,44
1305,17,21.0,44
1306,17,18.0,44
1307,17,16.0,44
1308,17,22.0,44
1309,17,22.0,44
1310,17,17.0,44
1311,17,21.0,44
1312,17,21.0,44
1313,17,21.0,44
1314,17,18.0,44
1315,17,20.0,44
1316,17,22.0,44
1317,17,22.0,44
1318,17,22.0,44
1319,17,22.0,44
1320,17,21.0,45
1321,17,22.0,45
1322,17,22.0,45
1323,17,22.0,45
1324,17,22.0,45
1325,17,20.0,45
1326,17,19.0,45
1327,17,18.0,45
1328,17,22.0,45
1329,17,20.0,45
1330,17,21.0,45
1331,17,22.0,45
1332,17,22.0,45
1333,17,22.0,45
1334,17,22.0,45
1335,17,21.0,45
1336,17,21.0,45
1337,17,22.0,45
1338,17,21.0,45
1339,17,20.0,45
1340,17,20.0,45
1341,17,21.0,45
1342,17,19.0,45
1343,17,21.0,45
1344,17,21.0,45
1345,17,22.0,45
1346,17,20.0,45
1347,17,20.0,45
1348,17,21.0,45
1349,17,22.0,45
1350,17,20.0,46
1351,17,19.0,46
1352,17,21.0,46
1353,17,21.0,46
1354,17,18.0,46
1355,17,20.0,46
1356,17,22.0,46
1357,17,19.0,46
1358,17,22.0,46
1359,17,18.0,46
1360,17,22.0,46
